1,02,17,33,37,38,45
2,03,04,14,20,25,35
3,01,10,16,18,23,38
4,14,17,21,25,31,37
5,03,08,13,20,30,36
6,02,06,19,21,35,39
7,07,10,25,27,29,40
8,03,09,13,18,24,31
9,03,05,17,22,30,31
10,06,15,16,19,27,30
11,28,31,34,37,38,41
12,13,16,17,29,31,37
13,02,04,09,19,21,26
14,11,12,17,33,34,36
15,13,21,24,25,29,44
16,08,17,21,23,36,40
17,10,36,39,43,44,45
18,04,06,10,15,16,44
19,08,20,21,31,34,39
20,09,13,24,35,36,41
21,11,15,20,24,27,45
22,06,08,12,13,15,19
23,07,13,16,18,31,32
24,06,09,10,18,20,31
25,02,11,14,23,25,32
26,04,05,06,23,31,34
27,07,10,17,20,25,32
28,05,12,15,30,37,41
29,08,14,19,29,30,40
30,01,20,28,32,42,44
31,03,06,17,21,32,40
32,06,20,30,38,40,45
33,16,23,27,34,35,38
34,05,06,19,31,42,44
35,24,25,27,34,44,45
36,02,15,20,32,33,44
37,02,08,15,16,19,25
38,03,07,09,18,28,39
39,05,21,31,33,38,42
40,02,13,15,17,18,41
41,16,17,30,32,34,38
42,02,05,12,21,22,40
43,01,08,16,18,21,28
44,10,11,13,14,16,38
45,07,12,25,28,40,44
46,03,05,08,10,13,22
47,05,13,22,24,28,32
48,04,15,16,20,26,41
49,02,10,14,24,25,30
50,10,17,22,23,30,36
51,11,23,25,34,36,45
52,01,09,17,28,43,44
53,11,12,16,24,26,31
54,09,23,33,38,41,42
55,02,22,23,24,28,37
56,03,04,25,31,37,40
57,12,16,17,18,22,30
58,06,15,17,20,23,41
59,17,26,33,34,37,42
60,03,05,13,27,38,44
61,13,23,27,28,32,45
62,11,12,15,17,21,26
63,02,03,04,05,22,24
64,05,06,12,16,26,30
65,05,08,33,34,39,44
66,03,07,30,32,41,43
67,03,06,12,14,18,40
68,01,17,24,25,37,43
69,05,12,20,29,34,36
70,02,22,25,33,38,43
71,07,23,27,29,35,37
72,09,18,24,33,36,39
73,04,19,25,27,29,31
74,22,30,34,36,43,45
75,12,18,29,32,39,45
76,02,08,21,29,37,45
77,12,24,29,32,37,39
78,05,25,27,29,31,43
79,11,22,26,28,35,43
80,01,11,31,32,34,37
81,01,20,21,22,26,29
82,06,09,14,18,28,30
83,05,13,21,27,29,45
84,02,10,11,18,22,33
85,08,17,31,32,33,39
86,01,11,26,29,34,40
87,15,26,29,32,34,38
88,02,06,10,13,20,28
89,04,06,12,21,23,28
90,04,16,19,27,29,30
91,12,15,25,27,37,41
92,01,17,24,25,33,35
93,01,03,08,18,28,42
94,02,04,19,23,44,45
95,07,11,16,19,38,39
96,03,04,26,30,35,44
97,02,04,13,22,23,41
98,18,21,24,26,39,45
99,05,11,14,20,32,42
100,04,09,21,27,38,44
101,06,11,30,32,35,42
102,03,09,10,31,32,40
103,07,12,24,43,44,45
104,01,02,06,12,31,36
105,01,09,24,28,33,36
106,10,14,30,32,37,42
107,06,12,23,25,29,43
108,04,05,24,26,28,37
109,01,04,05,11,20,30
110,03,05,07,12,27,33
111,13,14,20,21,23,33
112,04,05,16,17,32,40
113,05,08,21,25,26,37
114,02,03,08,13,19,41
115,04,05,10,33,36,38
116,06,07,18,29,32,44
117,19,20,32,33,38,44
118,07,08,15,30,32,39
119,13,17,22,30,31,43
120,14,16,17,20,35,39
121,02,09,11,12,15,23
122,02,06,08,11,12,25
123,03,19,20,21,25,45
124,04,09,12,32,36,43
125,01,07,28,32,44,45
126,07,17,21,29,40,44
127,01,27,35,42,43,45
128,13,15,17,21,25,40
129,07,08,11,18,23,42
130,01,08,18,28,30,33
131,11,14,17,22,27,42
132,08,20,25,27,30,33
133,06,08,25,39,40,45
134,02,07,17,24,31,44
135,07,13,16,30,37,44
136,05,13,16,32,39,41
137,01,09,23,32,34,35
138,05,06,13,29,35,44
139,07,15,19,24,32,42
140,05,06,11,14,32,33
141,05,08,15,25,31,35
142,06,10,17,21,27,38
143,02,08,12,14,16,26
144,09,26,29,30,35,37
145,09,10,21,37,40,42
146,03,14,33,38,42,44
147,02,06,21,28,39,40
148,01,07,10,38,40,42
149,01,05,07,16,19,44
150,01,04,16,31,37,40
151,04,19,22,30,34,35
152,01,09,14,18,25,28
153,05,09,14,15,26,42
154,02,13,19,24,25,33
155,02,10,27,29,37,39
156,04,07,13,20,35,44
157,05,06,09,15,19,32
158,07,09,13,21,28,39
159,09,26,27,30,40,44
160,01,04,09,26,35,39
161,08,17,24,35,41,44
162,07,10,17,26,28,43
163,03,12,13,23,26,37
164,02,09,10,11,21,43
165,11,19,22,24,25,31
166,01,12,19,35,36,41
167,01,03,06,07,16,18
168,06,11,15,19,22,41
169,03,04,18,22,34,37
170,05,15,18,21,37,45
171,06,25,27,34,42,43
172,02,07,12,27,40,44
173,03,07,16,32,36,39
174,05,08,11,28,35,41
175,09,10,13,19,23,41
176,05,06,26,28,35,43
177,05,20,24,32,36,42
178,02,15,17,32,41,44
179,01,22,23,35,36,42
180,03,08,19,35,38,40
181,03,24,35,37,40,43
182,06,11,15,16,37,40
183,05,07,13,17,23,33
184,05,16,21,31,37,41
185,04,10,11,31,36,39
186,10,19,33,34,35,45
187,23,28,30,35,37,42
188,08,23,27,36,37,43
189,04,05,09,19,37,44
190,04,06,18,20,30,45
191,08,16,24,27,35,39
192,04,11,14,15,19,26
193,10,13,20,21,25,36
194,02,09,14,21,35,40
195,16,24,32,36,37,40
196,02,18,25,33,36,42
197,08,14,16,17,31,42
198,12,17,23,25,34,38
199,04,10,13,21,22,38
200,01,05,28,31,44,45
201,04,12,25,39,42,44
202,07,17,20,22,29,44
203,03,17,38,39,41,44
204,01,18,23,24,40,41
205,01,04,19,21,24,35
206,22,26,37,40,42,44
207,01,09,15,27,33,43
208,11,13,18,19,31,45
209,14,20,30,33,41,43
210,05,06,09,23,27,35
211,14,24,32,34,36,45
212,04,12,17,19,23,34
213,19,23,26,37,38,41
214,10,19,30,35,39,45
215,08,09,15,18,27,30
216,03,07,29,31,34,43
217,02,11,15,32,40,44
218,27,36,39,43,44,45
219,04,07,19,24,32,38
220,13,14,17,24,28,43
221,04,07,16,27,40,41
222,03,08,25,37,40,42
223,09,13,17,22,26,33
224,01,05,09,14,30,31
225,09,13,19,21,27,30
226,02,08,17,20,29,39
227,03,13,14,26,30,34
228,08,14,19,30,33,35
229,19,30,34,38,42,44
230,04,06,11,13,24,31
231,06,18,21,22,37,45
232,04,08,17,23,27,34
233,01,06,10,29,32,41
